num_top_features,hid,layers,cost,epoch_converged,total_time,epoch,lr,k,p,r,train_count,seed
10.0,64,2,0.8095190871229574,7,9.281527042388916,1000,0.01,35.0,,,10.0,42.0
10.0,64,2,0.9164696199146368,3,9.260663747787476,1000,0.01,40.0,,,10.0,42.0
10.0,64,2,0.8953138185916437,4,9.159398078918455,1000,0.001,1.0,,,10.0,42.0
10.0,64,2,0.860406975314599,2,8.96513056755066,1000,0.001,5.0,,,10.0,42.0
10.0,64,2,0.9292750958021172,6,9.174749851226808,1000,0.001,10.0,,,10.0,42.0
10.0,64,2,0.8608270643251074,3,9.063736200332642,1000,0.001,15.0,,,10.0,42.0
10.0,64,2,0.9065276953870932,2,9.243642568588257,1000,0.001,20.0,,,10.0,42.0
10.0,64,2,0.8501227655564391,1,9.073500633239746,1000,0.001,25.0,,,10.0,42.0
10.0,64,2,0.9062644526634336,9,9.238473653793337,1000,0.001,30.0,,,10.0,42.0
10.0,64,2,0.8366031654926303,629,9.279366493225098,1000,0.001,35.0,,,10.0,42.0
10.0,64,2,0.8175175088868898,1,9.28943395614624,1000,0.001,40.0,,,10.0,42.0
100.0,64,2,0.8245339694319286,1,9.290729522705078,1000,0.01,1.0,,,10.0,42.0
100.0,64,2,0.942271195612613,7,9.230730056762695,1000,0.01,5.0,,,10.0,42.0
100.0,64,2,0.8965333164410101,2,9.214650630950928,1000,0.01,10.0,,,10.0,42.0
100.0,64,2,0.8737268562341449,6,9.234569311141968,1000,0.01,15.0,,,10.0,42.0
100.0,64,2,0.8703856771858316,2,9.2422297000885,1000,0.01,20.0,,,10.0,42.0
100.0,64,2,0.8725196556222699,4,9.189212083816528,1000,0.01,25.0,,,10.0,42.0
100.0,64,2,0.8988963014326371,1,9.248987197875977,1000,0.01,30.0,,,10.0,42.0
100.0,64,2,0.915122456430546,126,9.250427484512327,1000,0.01,35.0,,,10.0,42.0
100.0,64,2,0.914158087600392,4,9.284185409545898,1000,0.01,40.0,,,10.0,42.0
100.0,64,2,0.9119216208917206,1,9.11790895462036,1000,0.001,1.0,,,10.0,42.0
100.0,64,2,0.9572163235303875,11,9.143285036087036,1000,0.001,5.0,,,10.0,42.0
100.0,64,2,0.9022458490515592,2,9.17857789993286,1000,0.001,10.0,,,10.0,42.0
100.0,64,2,0.9225031123931072,7,9.245349645614624,1000,0.001,15.0,,,10.0,42.0
100.0,64,2,0.8894639195391075,2,9.287808418273926,1000,0.001,20.0,,,10.0,42.0
100.0,64,2,0.9189402076620122,6,9.291794061660768,1000,0.001,25.0,,,10.0,42.0
100.0,64,2,0.7980518710198867,1,9.323887348175049,1000,0.001,30.0,,,10.0,42.0
100.0,64,2,0.9206900284757934,1,9.341689825057983,1000,0.001,35.0,,,10.0,42.0
100.0,64,2,0.8963432992568947,155,9.387075424194336,1000,0.001,40.0,,,10.0,42.0
,64,2,0.6222245927931374,0,9.301339864730837,1000,0.001,,,2.0,10.0,42.0
,64,2,0.8061778924529021,8,9.282472610473633,1000,0.001,,,10.0,10.0,42.0
,64,2,0.7326569753332863,10,9.297009229660034,1000,0.001,,,50.0,10.0,42.0
,64,2,0.796302347172295,2,9.304661750793455,1000,0.01,,,2.0,10.0,42.0
,64,2,0.6032392371330588,8,9.300032377243042,1000,0.01,,,10.0,10.0,42.0
,64,2,0.748526377107911,23,9.314797401428224,1000,0.01,,,50.0,10.0,42.0
,64,3,0.7407801845649712,4,9.27565622329712,1000,0.001,,,2.0,10.0,42.0
,64,3,0.734421354085059,26,9.298219442367554,1000,0.001,,,10.0,10.0,42.0
,64,3,0.5797687663326947,10,9.40329933166504,1000,0.001,,,50.0,10.0,42.0
,64,3,0.7934296863100008,1,9.264829397201538,1000,0.01,,,2.0,10.0,42.0
,64,3,0.748345075824905,1,9.250489711761476,1000,0.01,,,10.0,10.0,42.0
,64,3,0.6860708864419439,6,9.147244930267334,1000,0.01,,,50.0,10.0,42.0
0.0,64,2,0.9008313941988956,1,9.01203680038452,1000,0.01,1.0,,,10.0,40.0
0.0,64,2,0.92404539884905,2,9.041244268417358,1000,0.01,5.0,,,10.0,40.0
0.0,64,2,0.9069409155291016,20,8.935091733932495,1000,0.01,10.0,,,10.0,40.0
0.0,64,2,0.9050268056852666,2,9.00336217880249,1000,0.01,15.0,,,10.0,40.0
0.0,64,2,0.8138108107896445,5,8.980079412460327,1000,0.01,20.0,,,10.0,40.0
0.0,64,2,0.8760061265338994,0,9.024022817611694,1000,0.01,25.0,,,10.0,40.0
0.0,64,2,0.8356914049667556,1,9.04680061340332,1000,0.01,30.0,,,10.0,40.0
0.0,64,2,0.8694693398049785,2,9.00825262069702,1000,0.01,35.0,,,10.0,40.0
0.0,64,2,0.9253828220925264,2,9.00777792930603,1000,0.01,40.0,,,10.0,40.0
0.0,64,2,0.7141499970496252,2,6.609697580337524,1000,0.001,1.0,,,10.0,40.0
0.0,64,2,0.895492853919346,8,5.291078329086304,1000,0.001,5.0,,,10.0,40.0
0.0,64,2,0.8916762639354001,3,5.196638822555542,1000,0.001,10.0,,,10.0,40.0
0.0,64,2,0.911358374603867,2,5.058969736099243,1000,0.001,15.0,,,10.0,40.0
0.0,64,2,0.8118833747545747,1,5.1491007804870605,1000,0.001,20.0,,,10.0,40.0
0.0,64,2,0.8831252896602442,1,5.141534805297852,1000,0.001,25.0,,,10.0,40.0
0.0,64,2,0.4402908168436119,0,5.08544659614563,1000,0.001,30.0,,,10.0,40.0
0.0,64,2,0.929568978820004,7,5.293127775192261,1000,0.001,35.0,,,10.0,40.0
0.0,64,2,0.819957110201645,1,5.061997413635254,1000,0.001,40.0,,,10.0,40.0
1.0,64,2,0.8269148944326038,1,5.073105573654175,1000,0.01,1.0,,,10.0,40.0
1.0,64,2,0.801094284556635,1,8.696329355239868,1000,0.01,5.0,,,10.0,40.0
1.0,64,2,0.8223306742690735,1,9.150083303451538,1000,0.01,10.0,,,10.0,40.0
1.0,64,2,0.799119831587364,1,9.171176433563232,1000,0.01,15.0,,,10.0,40.0
1.0,64,2,0.8296572444023075,3,9.129522562026978,1000,0.01,20.0,,,10.0,40.0
1.0,64,2,0.815384968271665,3,9.134808540344238,1000,0.01,25.0,,,10.0,40.0
1.0,64,2,0.860174252512009,1,9.197095155715942,1000,0.01,30.0,,,10.0,40.0
1.0,64,2,0.7950399324392684,1,9.127586603164673,1000,0.01,35.0,,,10.0,40.0
1.0,64,2,0.7962591344515543,2,9.175110340118408,1000,0.01,40.0,,,10.0,40.0
1.0,64,2,0.71751650610769,2,9.139792203903198,1000,0.001,1.0,,,10.0,40.0
1.0,64,2,0.8284138844532019,1,9.109498739242554,1000,0.001,5.0,,,10.0,40.0
1.0,64,2,0.8179414172685479,0,9.064884662628174,1000,0.001,10.0,,,10.0,40.0
1.0,64,2,0.8243506929094371,1,9.112403869628906,1000,0.001,15.0,,,10.0,40.0
1.0,64,2,0.8181766322907497,0,9.125787734985352,1000,0.001,20.0,,,10.0,40.0
1.0,64,2,0.8218498316384113,1,9.083240032196043,1000,0.001,25.0,,,10.0,40.0
1.0,64,2,0.8045595154136308,0,9.068775415420532,1000,0.001,30.0,,,10.0,40.0
1.0,64,2,0.8224855805030733,2,9.114282846450806,1000,0.001,35.0,,,10.0,40.0
1.0,64,2,0.8694693398049785,0,9.128709316253662,1000,0.001,40.0,,,10.0,40.0
3.0,64,2,0.8312658312160379,2,9.04997968673706,1000,0.01,1.0,,,10.0,40.0
3.0,64,2,0.9063854642894787,0,9.118019580841064,1000,0.01,5.0,,,10.0,40.0
3.0,64,2,0.8998696645754511,13,9.173786640167236,1000,0.01,10.0,,,10.0,40.0
3.0,64,2,0.7872416770924784,15,9.091214895248411,1000,0.01,15.0,,,10.0,40.0
3.0,64,2,0.859874427428907,21,9.155378341674805,1000,0.01,20.0,,,10.0,40.0
3.0,64,2,0.9110344995621102,15,9.230584144592283,1000,0.01,25.0,,,10.0,40.0
3.0,64,2,0.8364928232933971,7,9.0802001953125,1000,0.01,30.0,,,10.0,40.0
3.0,64,2,0.8734396451195782,9,9.045867681503296,1000,0.01,35.0,,,10.0,40.0
3.0,64,2,0.8757901931468924,16,9.07817268371582,1000,0.01,40.0,,,10.0,40.0
3.0,64,2,0.812964302770193,2,9.059951305389404,1000,0.001,1.0,,,10.0,40.0
3.0,64,2,0.8969091698574981,6,9.17332673072815,1000,0.001,5.0,,,10.0,40.0
3.0,64,2,0.8959331270604369,8,9.077931880950928,1000,0.001,10.0,,,10.0,40.0
3.0,64,2,0.8826801717288587,15,9.099877834320068,1000,0.001,15.0,,,10.0,40.0
3.0,64,2,0.8944357454995753,7,9.119669198989868,1000,0.001,20.0,,,10.0,40.0
3.0,64,2,0.7914998427136845,1,9.135191679000854,1000,0.001,25.0,,,10.0,40.0
3.0,64,2,0.9043267332974544,1,9.162308931350708,1000,0.001,30.0,,,10.0,40.0
3.0,64,2,0.8454237701958067,0,9.154739379882812,1000,0.001,35.0,,,10.0,40.0
3.0,64,2,0.8854134247584887,8,9.148775100708008,1000,0.001,40.0,,,10.0,40.0
5.0,64,2,0.4964146939355627,3,9.069196701049805,1000,0.01,1.0,,,10.0,40.0
5.0,64,2,0.7258343272373885,1,9.074215650558472,1000,0.01,5.0,,,10.0,40.0
5.0,64,2,0.889741637460233,0,9.08756685256958,1000,0.01,10.0,,,10.0,40.0
5.0,64,2,0.8258986752441558,56,9.129575967788696,1000,0.01,15.0,,,10.0,40.0
5.0,64,2,0.90420206360056,1,9.168562412261965,1000,0.01,20.0,,,10.0,40.0
5.0,64,2,0.8517751543886344,3,9.194802284240724,1000,0.01,25.0,,,10.0,40.0
5.0,64,2,0.8511955683687589,11,9.225388765335085,1000,0.01,30.0,,,10.0,40.0
5.0,64,2,0.8765841253578975,6,9.185770750045776,1000,0.01,35.0,,,10.0,40.0
5.0,64,2,0.8181608385883407,14,9.192349433898926,1000,0.01,40.0,,,10.0,40.0
5.0,64,2,0.9071405311923644,2,9.134287357330322,1000,0.001,1.0,,,10.0,40.0
5.0,64,2,0.8643126248316033,1,9.17537236213684,1000,0.001,5.0,,,10.0,40.0
5.0,64,2,0.7932901499893514,2,9.141934633255005,1000,0.001,10.0,,,10.0,40.0
5.0,64,2,0.9101300457178996,299,9.232618808746338,1000,0.001,15.0,,,10.0,40.0
